,Model,Intersection,Ranked Results
0,CompVis/stable-diffusion-v1-4,[0.6 0.6 0.6 0.6 0.6 0.6 0.5 0.6 0.6],"['keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim', 'jutaporn37678/stable-diffusion-v1-0', 'dnwalkup/StableDiffusion-v1-Releases', 'osanseviero/compvis_fix', 'pain/CalliarGen-v2']"
1,jonatasgrosman/wav2vec2-large-xlsr-53-hungarian,"[0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.71428571
 0.71428571 0.85714286 0.85714286]","['jonatasgrosman/wav2vec2-large-xlsr-53-finnish', 'jonatasgrosman/wav2vec2-large-xlsr-53-greek', 'jonatasgrosman/wav2vec2-large-english', 'jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn', 'jonatasgrosman/wav2vec2-large-xlsr-53-persian', 'birgermoell/wav2vec2-large-xlsr-hungarian', 'gchhablani/wav2vec2-large-xlsr-hu', 'jonatasgrosman/wav2vec2-large-xlsr-53-japanese', 'jonatasgrosman/wav2vec2-large-fr-voxpopuli-french']"
2,cerebras/Cerebras-GPT-13B,[1.  1.  1.  1.  1.  1.  0.8 0.  0.5],"['cerebras/Cerebras-GPT-1.3B', 'cerebras/Cerebras-GPT-590M', 'cerebras/Cerebras-GPT-256M', 'cerebras/Cerebras-GPT-6.7B', 'cerebras/Cerebras-GPT-2.7B', 'cerebras/Cerebras-GPT-13B', 'marcospiau/Cerebras-GPT-13B-reshard-1GB-float32', 'bjoernp/alpaca-cerebras-6.7B', 'SebastianSchramm/Cerebras-GPT-111M-instruction']"
3,timm/eva02_base_patch14_224.mim_in22k,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['timm/eva02_base_patch14_448.mim_in22k_ft_in22k_in1k', 'timm/eva02_small_patch14_336.mim_in22k_ft_in1k', 'timm/eva02_large_patch14_224.mim_m38m', 'timm/eva02_large_patch14_448.mim_m38m_ft_in1k', 'timm/eva_large_patch14_336.in22k_ft_in22k_in1k', 'timm/eva_large_patch14_196.in22k_ft_in22k_in1k', 'timm/eva_giant_patch14_336.clip_ft_in1k', 'timm/eva_giant_patch14_224.clip_ft_in1k', 'timm/eva_giant_patch14_336.m30m_ft_in22k_in1k']"
4,Hello-SimpleAI/chatgpt-qa-detector-roberta,"[1.         0.66666667 0.         0.25       0.         0.
 0.         0.         0.        ]","['Hello-SimpleAI/chatgpt-detector-roberta', 'mrm8488/xlm-roberta-base-finetuned-HC3-mix', 'TimoImhof/roberta-finetuned-squad', 'roberta-base-openai-detector', 'deepset/roberta-base-squad2', 'Shobhank-iiitdwd/RoBERTa-base-squad2-QA', 'mrm8488/roberta-base-1B-1-finetuned-squadv1', 'techysanoj/roberta-fine-tuned-squadv2', 'LDKSolutions/chatgpt-qa-detector-deberta-v3-large']"
5,Yntec/OpenLexica,"[0.5        0.5        0.7        1.         0.66666667 0.
 0.66666667 0.5        0.5       ]","['Yntec/lametta', 'Yntec/REV', 'Yntec/WoopWoopRemix', 'Yntec/NovelAI', 'digiplay/CityEdge_StyleMix_v1.44', 'BlancOfficial/Healy_AnimeBlend', 'Yntec/NovelAIRemix', 'Yntec/lamettaRemix', 'Yntec/ReVAnimated768']"
6,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,"[0.66666667 1.         1.         1.         0.33333333 0.33333333
 0.5        0.33333333 0.5       ]","['swapnice/swapnice-openorcaxopenchat-preview2-13b', 'Open-Orca/LlongOrca-13B-16k', 'Open-Orca/OpenOrca-Preview1-13B', 'Open-Orca/LlongOrca-7B-16k', 's3nh/OpenOrca-Preview1-13B-GGML', 'pankajmathur/orca_mini_v3_7b', 'openchat/openchat_v3.2', 'morgendigital/Llama-2-13b-chat-german-GGUF', 'posicube/Llama2-chat-AYT-13B']"
7,cardiffnlp/twitter-roberta-base-sentiment,"[1.         0.66666667 1.         0.33333333 0.5        0.33333333
 0.33333333 0.         0.        ]","['cardiffnlp/twitter-roberta-base-sentiment-latest', 'AK776161/birdseye_roberta-base-tweet-eval', 'cardiffnlp/twitter-xlm-roberta-base-sentiment', 'j-hartmann/sentiment-roberta-large-english-3-classes', 'cardiffnlp/twitter-xlm-roberta-base', 'daveni/twitter-xlm-roberta-emotion-es', 'eevvgg/sentimenTw-political', 'andrea-t94/roberta-fine-tuned-twitter', 'pysentimiento/bertweet-hate-speech']"
8,Salesforce/codegen-2B-mono,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-350M-mono', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-6B-mono', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-2B-multi', 'Salesforce/codegen-350M-nl', 'Salesforce/codegen-16B-nl', 'Salesforce/codegen-6B-nl', 'Salesforce/codegen-350M-multi']"
9,prajjwal1/bert-small,"[1.         0.83333333 0.         0.         0.         0.
 0.         0.         0.        ]","['prajjwal1/bert-mini', 'harshil10/birt_tiny', 'lyeonii/bert-tiny', 'lyeonii/bert-uncased-L4-H128-A2', 'aajrami/bert-rand-small', 'dvm1983/TinyBERT_General_4L_312D_de', 'google/bert_uncased_L-2_H-128_A-2', 'aajrami/bert-sr-small', 'muhtasham/olm-bert-tiny-december-2022']"
