,Model,Intersection,Ranked Results
0,jonatasgrosman/wav2vec2-large-xlsr-53-english,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75],"['jonatasgrosman/wav2vec2-large-xlsr-53-spanish', 'jonatasgrosman/wav2vec2-large-xlsr-53-italian', 'jonatasgrosman/wav2vec2-large-xlsr-53-french', 'jonatasgrosman/wav2vec2-large-xlsr-53-polish', 'jonatasgrosman/wav2vec2-large-xlsr-53-portuguese', 'jonatasgrosman/wav2vec2-large-xlsr-53-german', 'jonatasgrosman/wav2vec2-large-xlsr-53-dutch', 'jonatasgrosman/wav2vec2-large-xlsr-53-russian', 'abidlabs/speech-text']"
1,bert-base-uncased,[1.   0.75 1.   1.   0.75 0.75 0.75 1.   0.75],"['Contents/bert-base-uncased', 'Gxg/OpNum_Bert_Merge', 'mlcorelib/debertav2-base-uncased', 'bert-base-cased', 'tftransformers/bert-base-uncased', 'UKP-SQuARE/bert-base-uncased-onnx', 'UKP-SQuARE/bert-base-cased-onnx', 'byeongal/bert-base-uncased', 'MultiBertGunjanPatrick/multiberts-seed-20']"
2,gpt2,[1.  1.  1.  0.5 0.5 0.5 0.5 0.5 0.5],"['Narsil/gpt3', 'model-attribution-challenge/gpt2', 'optimum/gpt2', 'macedonizer/mk-gpt2', 'tftransformers/gpt2-medium', 'macedonizer/gr-gpt2', 'macedonizer/al-gpt2', 'macedonizer/sl-gpt2', 'macedonizer/sr-gpt2']"
3,xlm-roberta-base,[1.  0.5 0.5 0.5 0.5 0.  0.5 0.5 0. ],"['harshit158/mlm_hf', 'khavitidala/xlmroberta-large-fine-tuned-indo-hoax-classification', 'facebook/xlm-roberta-xl', 'macedonizer/gr-roberta-base', 'flax-community/RoBERTa-large-finnish', 'facebook/FairBERTa', 'macedonizer/al-roberta-base', 'macedonizer/ba-roberta-base', 'surrey-nlp/roberta-base-finetuned-abbr']"
4,openai/clip-vit-large-patch14,"[0.66666667 0.66666667 0.33333333 0.33333333 0.33333333 0.33333333
 0.33333333 0.33333333 0.        ]","['SaulLu/clip-vit-base-patch32', 'mattmdjaga/clip-vit-base-patch32_handler', 'timm/vit_base_patch16_clip_224.openai', 'timm/vit_base_patch32_clip_224.openai', 'facebook/vit-mae-base', 'facebook/dino-vits16', 'facebook/dino-vits8', 'google/vit-hybrid-base-bit-384', 'halice/token-learner']"
5,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,"[0.75       0.75       0.75       0.         0.85714286 0.75
 0.         0.2        0.        ]","['MoritzLaurer/DeBERTa-v3-base-mnli', 'MoritzLaurer/MiniLM-L6-mnli-fever-docnli-ling-2c', 'MoritzLaurer/MiniLM-L6-mnli', 'ConvLab/lava-policy-multiwoz20', 'MoritzLaurer/xtremedistil-l6-h256-mnli-fever-anli-ling-binary', 'MoritzLaurer/MiniLM-L6-mnli-binary', 'vaiv/kobigbird-roberta-large', 'gchhablani/fnet-base-finetuned-wnli', 'mehdidn/finetuned_distilbert_fa_zwnj_base_ner']"
6,sentence-transformers/all-mpnet-base-v2,"[0.92       0.6        0.6        0.92307692 0.6        0.92307692
 0.88461538 0.6        0.6       ]","['diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-distilroberta-v1', 'sentence-transformers/all-roberta-large-v1', 'sentence-transformers/all-MiniLM-L12-v2', 'sentence-transformers/all-MiniLM-L6-v2', 'optimum/all-MiniLM-L6-v2', 'guidecare/all-mpnet-base-v2-feature-extraction']"
7,NousResearch/Llama-2-13b-hf,"[0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.75
 0.85714286 0.85714286 0.71428571]","['meta-llama/Llama-2-7b-hf', 'anonymous4chan/llama-2-70b', 'anonymous4chan/llama-2-7b', 'Recag/12345', 'meta-llama/Llama-2-70b-chat-hf', 'deepsbn/llama-2-13b-chat-ggml', 'substratusai/Llama-2-7b-chat-GGUF', 'uukuguy/speechless-llama2-luban-orca-platypus-13b', 'erfanzar/Llama-2-jax']"
8,google/flan-t5-base,"[0.84615385 0.         0.         0.         0.         0.
 0.         0.         0.        ]","['cloudqi/cqi_question_solver_translator_v0', 'rustformers/open-llama-ggml', 'keldenl/RedPajama-INCITE-Instruct-7B-v0.1-GGML', 'huggingtweets/20pointsbot-apesahoy-chai_ste-deepfanfiction-nsp_gpt2-pldroneoperated', 'huggingtweets/apesahoy-chai_ste-deepfanfiction-nsp_gpt2-pldroneoperated', 'huggingtweets/apesahoy-dril-dril9999-dril_gpt2-gptmicrofic-tanakhbot', 'huggingtweets/apesahoy-hannibalscript-nsp_gpt2-peepscript-shrekscriptlol-toywhole', 'DFKI-SLT/eurogpt2', 'huggingtweets/apesahoy-botphilosophyq-chai_ste-marxhaunting-nsp_gpt2-shrekscriptlol-theofficialkeir-xannon199']"
9,runwayml/stable-diffusion-v1-5,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['Kernel/sd-nsfw', 'nmkd/stable-diffusion-1.5-onnx-fp16', 'pain/CalliarGen-v2', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim']"
10,distilbert-base-uncased,[1.   0.75 0.   0.   1.   1.   0.75 1.   0.75],"['distilbert-base-cased', 'onnxport/distilbert-base-uncased-onnx', 'itsatarax/comprehenso', 'ultraleow/cloud4bert', 'bert-base-multilingual-uncased', 'baseten/docs-example-gated-model', 'MultiBertGunjanPatrick/multiberts-seed-0-1100k', 'bert-base-multilingual-cased', 'MultiBertGunjanPatrick/multiberts-seed-0-1300k']"
11,SamLowe/roberta-base-go_emotions,"[0.33333333 0.25       0.25       0.125      0.2        0.
 0.         0.         0.2       ]","['DunnBC22/electra-base-emotion-Tweet_About_Disaster_Or_Not', 'Vasanth/tamil-sentiment-distilbert', 'aambrioso/distilbert-base-uncased-finetuned-emotion', 'hipnologo/gpt2-churn-finetune', 'gchhablani/fnet-base-finetuned-cola', 'AlGe/deberta_v3_large_token_bin', 'AlGe/deberta_v3_large_token', 'AlGe/deberta-v3-large_token_multi', 'gchhablani/fnet-base-finetuned-rte']"
12,roberta-base,"[1.         0.         1.         1.         1.         0.66666667
 0.75       0.25       0.25      ]","['model-attribution-challenge/roberta-base', 'Gxl/234', 'albert-base-v2', 'albert-xxlarge-v2', 'albert-xlarge-v2', 'tftransformers/albert-xxlarge-v2', 'tftransformers/albert-base-v1', 'macedonizer/al-roberta-base', 'macedonizer/ba-roberta-base']"
13,marieke93/MiniLM-evidence-types,"[0.33333333 0.66666667 0.33333333 0.66666667 0.33333333 0.33333333
 0.33333333 0.33333333 0.33333333]","['cvcio/roberta-el-ner4', 'nbroad/longformer-base-health-fact', 'Jsevisal/balanced-augmented-distilbert-base-gest-pred-seqeval-partialmatch', 'DunnBC22/hateBERT-Hate_Offensive_or_Normal_Speech', 'Jsevisal/distilbert-base-gest-pred-seqeval-partialmatch', 'ajtamayoh/RE_NegREF_NSD_Nubes_Training_Test_dataset_roberta-base-biomedical-clinical-es_fine_tuned_v3', 'cvcio/roberta-el-ner18', 'Jsevisal/balanced-augmented-roberta-gest-pred-seqeval-partialmatch', 'fgaim/tiroberta-geezswitch']"
