,Model,Intersection,Ranked Results
0,jonatasgrosman/wav2vec2-large-xlsr-53-english,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75],"['jonatasgrosman/wav2vec2-large-xlsr-53-french', 'jonatasgrosman/wav2vec2-large-xlsr-53-german', 'jonatasgrosman/wav2vec2-large-xlsr-53-spanish', 'jonatasgrosman/wav2vec2-large-xlsr-53-polish', 'jonatasgrosman/wav2vec2-large-xlsr-53-portuguese', 'abidlabs/speech-text', 'jonatasgrosman/wav2vec2-large-xlsr-53-italian', 'jonatasgrosman/wav2vec2-large-xlsr-53-dutch', 'jonatasgrosman/wav2vec2-large-xlsr-53-russian']"
1,bert-base-uncased,[1.   0.75 1.   0.75 1.   0.75 0.75 1.   0.  ],"['Contents/bert-base-uncased', 'Gxg/OpNum_Bert_Merge', 'mlcorelib/debertav2-base-uncased', 'UKP-SQuARE/bert-base-uncased-onnx', 'bert-base-cased', 'tftransformers/bert-base-uncased', 'UKP-SQuARE/bert-base-cased-onnx', 'byeongal/bert-base-uncased', 'TokenfreeEMNLPSubmission/bert-base-finetuned-masakhaner-zh']"
2,gpt2,[1.  1.  1.  0.5 0.5 0.5 0.5 0.5 0.5],"['optimum/gpt2', 'Narsil/gpt3', 'model-attribution-challenge/gpt2', 'byeongal/gpt2-large', 'macedonizer/gr-gpt2', 'macedonizer/hr-gpt2', 'macedonizer/sl-gpt2', 'tftransformers/gpt2-medium', 'macedonizer/al-gpt2']"
3,xlm-roberta-base,[1.  0.5 0.5 0.  1.  0.  1.  1.  1. ],"['harshit158/mlm_hf', 'facebook/xlm-roberta-xl', 'khavitidala/xlmroberta-large-fine-tuned-indo-hoax-classification', 'xlm-roberta-large-finetuned-conll03-english', 'xlm-roberta-large-finetuned-conll02-spanish', 'xlm-roberta-large-finetuned-conll03-german', 'xlm-roberta-large-finetuned-conll02-dutch', 'roberta-base', 'model-attribution-challenge/roberta-base']"
4,openai/clip-vit-large-patch14,"[0.66666667 0.66666667 0.33333333 0.33333333 0.66666667 0.66666667
 0.33333333 0.33333333 0.        ]","['SaulLu/clip-vit-base-patch32', 'mattmdjaga/clip-vit-base-patch32_handler', 'timm/vit_base_patch32_clip_224.openai', 'timm/vit_base_patch16_clip_224.openai', 'flax-community/clip-rsicd-v2', 'sujitpal/clip-imageclef', 'flavour/CLIP-ViT-B-16-DataComp.XL-s13B-b90K', 'laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K', 'timm/vit_large_patch14_clip_224.openai_ft_in12k_in1k']"
5,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,"[0.75       0.75       0.85714286 0.75       0.85714286 0.33333333
 0.         0.5        0.57142857]","['MoritzLaurer/DeBERTa-v3-base-mnli', 'MoritzLaurer/MiniLM-L6-mnli-fever-docnli-ling-2c', 'MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary', 'MoritzLaurer/MiniLM-L6-mnli', 'MoritzLaurer/xtremedistil-l6-h256-mnli-fever-anli-ling-binary', 'pritamdeka/PubMedBERT-MNLI-MedNLI', 'gyeoldere/DeBERTa-finetuned-SNLI2', 'khalidalt/DeBERTa-v3-large-mnli', 'ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli']"
6,sentence-transformers/all-mpnet-base-v2,"[0.92       0.6        0.6        0.92307692 0.92307692 0.6
 0.88461538 0.6        0.6       ]","['diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-distilroberta-v1', 'sentence-transformers/all-MiniLM-L12-v2', 'sentence-transformers/all-roberta-large-v1', 'sentence-transformers/all-MiniLM-L6-v2', 'guidecare/all-mpnet-base-v2-feature-extraction', 'optimum/all-MiniLM-L6-v2']"
7,NousResearch/Llama-2-13b-hf,"[0.85714286 0.85714286 0.85714286 0.85714286 0.75       0.85714286
 0.85714286 0.85714286 0.85714286]","['anonymous4chan/llama-2-7b', 'meta-llama/Llama-2-7b-hf', 'anonymous4chan/llama-2-70b', 'meta-llama/Llama-2-70b-chat-hf', 'deepsbn/llama-2-13b-chat-ggml', 'substratusai/Llama-2-7b-chat-GGUF', 'dranger003/llama-2-70b-chat', 'Recag/12345', 'cryptoman/converted-llama-2-70b']"
8,google/flan-t5-base,"[0.84615385 0.92307692 0.84615385 0.16666667 0.25       0.33333333
 0.         0.         0.        ]","['cloudqi/cqi_question_solver_translator_v0', 'google/flan-t5-xxl', 'dfurman/flan-t5-xxl-copy', 'Salesforce/dialogstudio-t5-base-v1.0', 'braindao/flan-t5-cnn', 'philschmid/flan-t5-xxl-sharded-fp16', 'ArtifactAI/flan-t5-xxl-arxiv-math-closed-qa', 'ArtifactAI/flan-t5-base-arxiv-math-question-answering', 'philschmid/bart-large-cnn-samsum']"
9,runwayml/stable-diffusion-v1-5,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['Kernel/sd-nsfw', 'nmkd/stable-diffusion-1.5-onnx-fp16', 'jutaporn37678/stable-diffusion-v1-0', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim']"
